Chifley Suites Auckland,08:05  15:00,07:00  21:25,"23h 25m, 2 stops","21h 55m, 2 stops",4 Star hotel,TripAdvisor: 4/5,Deluxe 2 Bedroom Suite,NA,"1,21,788",NA,0,0,1,1,1,NZ,0,http://www.cleartrip.com/packages/results?origin=AMD&city=Auckland&chk_out=3%2F02%2F2014&childs=0&from=AMD&adults=1&dest_code=100265&num_rooms=1&country=NZ&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Skycity Grand Hotel,08:05  15:00,07:00  21:25,"23h 25m, 2 stops","21h 55m, 2 stops",5 Star hotel,TripAdvisor: 4.5/5,Premium Luxury Harbour View King Room,"1,33,211","1,30,309","Save Rs.2,902",0,0,1,1,1,NZ,0,http://www.cleartrip.com/packages/results?origin=AMD&city=Auckland&chk_out=3%2F02%2F2014&childs=0&from=AMD&adults=1&dest_code=100265&num_rooms=1&country=NZ&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Skycity Hotel,08:05  15:00,07:00  21:25,"23h 25m, 2 stops","21h 55m, 2 stops",4 Star hotel,TripAdvisor: 4/5,Deluxe Double Room,"1,25,072","1,22,886","Save Rs.2,186",0,0,1,1,1,NZ,0,http://www.cleartrip.com/packages/results?origin=AMD&city=Auckland&chk_out=3%2F02%2F2014&childs=0&from=AMD&adults=1&dest_code=100265&num_rooms=1&country=NZ&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Scenic Hotel Auckland,08:05  15:00,07:00  21:25,"23h 25m, 2 stops","21h 55m, 2 stops",4 Star hotel,TripAdvisor: 4/5,Studio (Double),"1,20,280","1,16,923","Save Rs.3,357",0,0,1,1,1,NZ,0,http://www.cleartrip.com/packages/results?origin=AMD&city=Auckland&chk_out=3%2F02%2F2014&childs=0&from=AMD&adults=1&dest_code=100265&num_rooms=1&country=NZ&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Rydges Auckland,08:05  15:00,07:00  21:25,"23h 25m, 2 stops","21h 55m, 2 stops",4 Star hotel,TripAdvisor: 4/5,"Superior Room, 2 Double Beds","1,22,020","1,20,103","Save Rs.1,917",0,0,1,1,1,NZ,0,http://www.cleartrip.com/packages/results?origin=AMD&city=Auckland&chk_out=3%2F02%2F2014&childs=0&from=AMD&adults=1&dest_code=100265&num_rooms=1&country=NZ&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
"The Langham, Auckland",08:05  15:00,07:00  21:25,"23h 25m, 2 stops","21h 55m, 2 stops",5 Star hotel,TripAdvisor: 4.5/5,Classic Room,"1,29,345","1,24,468","Save Rs.4,877",0,0,1,1,1,NZ,0,http://www.cleartrip.com/packages/results?origin=AMD&city=Auckland&chk_out=3%2F02%2F2014&childs=0&from=AMD&adults=1&dest_code=100265&num_rooms=1&country=NZ&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Rendezvous Grand Hotel Auckland,08:05  15:00,07:00  21:25,"23h 25m, 2 stops","21h 55m, 2 stops",4 Star hotel,TripAdvisor: 4/5,Deluxe Room,NA,"1,19,154",NA,0,0,1,1,1,NZ,0,http://www.cleartrip.com/packages/results?origin=AMD&city=Auckland&chk_out=3%2F02%2F2014&childs=0&from=AMD&adults=1&dest_code=100265&num_rooms=1&country=NZ&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Kiwi International Hotel,08:05  15:00,07:00  21:25,"23h 25m, 2 stops","21h 55m, 2 stops",3 Star hotel,TripAdvisor: 3.5/5,"Economy Single Room, Shared Bathroom","1,06,250","1,05,722",Save Rs.528,0,0,1,1,1,NZ,0,http://www.cleartrip.com/packages/results?origin=AMD&city=Auckland&chk_out=3%2F02%2F2014&childs=0&from=AMD&adults=1&dest_code=100265&num_rooms=1&country=NZ&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
The Quadrant Hotel Auckland,08:05  15:00,07:00  21:25,"23h 25m, 2 stops","21h 55m, 2 stops",4 Star hotel,TripAdvisor: 3.5/5,"Deluxe Room, 1 Queen Bed - Advance Purchase","1,15,813","1,14,690","Save Rs.1,123",0,0,1,1,1,NZ,0,http://www.cleartrip.com/packages/results?origin=AMD&city=Auckland&chk_out=3%2F02%2F2014&childs=0&from=AMD&adults=1&dest_code=100265&num_rooms=1&country=NZ&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
Ibis Auckland Ellerslie,08:05  15:00,07:00  21:25,"23h 25m, 2 stops","21h 55m, 2 stops",3 Star hotel,TripAdvisor: 4/5,"Standard Twin Room, 2 Single Beds","1,12,355","1,11,481",Save Rs.874,0,0,1,1,1,NZ,0,http://www.cleartrip.com/packages/results?origin=AMD&city=Auckland&chk_out=3%2F02%2F2014&childs=0&from=AMD&adults=1&dest_code=100265&num_rooms=1&country=NZ&children1=0&state=&depart_date=1%2F02%2F2014&infants=0&chk_in=1%2F02%2F2014&return_date=3%2F02%2F2014&adults1=1
